canonical_gp,gp_display_name,fund_name,vintage_year,fund_category,sub_strategy,fund_size_usd_m,fund_size_confidence,firm_aum_usd_b,firm_founded,hq_city,investment_focus,stage_focus,notable_portfolio,source,reporting_period,tvpi,dpi,net_irr,irr_meaningful,performance_note
Accel-KKR,Accel-KKR,Accel-KKR Company LLC,2000,PE,PE Buyout,400,Estimated,10.0,2000,Menlo Park CA,Technology buyout,Buyout,"Barracuda Networks, Vertafore, WebMD Health Services",WSIB,ir093024,2.3,2.32,0.0815,TRUE,Mature fund — fully realized. DPI > TVPI indicates full distribution.
Accel-KKR,Accel-KKR,"Accel-KKR Capital Partners VII, LP",2025,PE,PE Buyout,3500,Estimated,10.0,2000,Menlo Park CA,Technology buyout,Buyout,,CalPERS,unknown,1.0,0.0,,FALSE,Too early — 2025 vintage. No meaningful performance data yet.
B Capital,B Capital,"B Capital Global Growth III, L.P.",2023,Growth,Growth Equity,600,Estimated,6.5,2015,Singapore / LA,Enterprise SaaS | Fintech | Health | Climate,Growth (Series C–F),"Jungle, Nuvei, Lightcast",CalPERS,unknown,1.0,0.05,,FALSE,Too early — 2023 vintage. DPI minimal. IRR not yet meaningful.
B Capital,B Capital,"B Capital Ascent Fund III, L.P.",2024,Venture,Early VC,250,Estimated,6.5,2015,Singapore / LA,Enterprise SaaS | Fintech | Deep Tech,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,FALSE,Too early — 2024 vintage. No meaningful performance data yet.
B Capital,B Capital,"B Capital Opportunities Fund II, L.P.",2024,Growth,Opportunities,500,Estimated,6.5,2015,Singapore / LA,Enterprise SaaS | AI | Fintech,Late Stage / Crossover,,CalPERS,unknown,1.0,0.0,,FALSE,Too early — 2024 vintage. No meaningful performance data yet.
Balderton,Balderton Capital,"Balderton Capital Growth II, S.L.P.",2024,Growth,Growth Equity,500,Estimated,4.0,2000,London UK,European tech | Consumer | Fintech | SaaS,Growth (Series C–F),"Revolut, Aircall, Cleo",CalPERS,unknown,1.0,0.0,,FALSE,Too early — 2024 vintage. No meaningful performance data yet.
Balderton,Balderton Capital,"Balderton Capital IX, S.L.P.",2024,Venture,Early VC,600,Estimated,4.0,2000,London UK,European tech | Consumer | Fintech | SaaS,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,FALSE,Too early — 2024 vintage. No meaningful performance data yet.
Base10,Base10 Partners,"Base10 Partners III, L.P.",2022,Venture,Early VC,500,Estimated,1.5,2018,San Francisco CA,Automation | Future of Work | Fintech | Healthcare,Early (Seed–Series B),"Figma, Lyra Health, Addi",CalPERS,unknown,1.0,0.0,0.0041,FALSE,Very early — 2022 vintage with near-zero IRR. Performance not yet meaningful.
Base10,Base10 Partners,"Base10 Series B I, L.P.",2023,Venture,Early VC,150,Estimated,1.5,2018,San Francisco CA,Automation | Fintech | Healthcare,Series B specialist,,CalPERS,unknown,1.0,0.0,,FALSE,Too early — 2023 vintage. No meaningful performance data yet.
Bessemer,Bessemer Venture Partners,BVP Forge Institutional L.P.,2023,Growth,Growth Equity,3500,Estimated,20.0,1911,Redwood City CA,Enterprise | Consumer | Cloud | Fintech,Growth (Series C–F),,CalPERS,unknown,1.0,0.0,,FALSE,Too early — 2023 vintage. No meaningful performance data yet.
